Fon Kodu,Fon Adı,Tarih,Değişim
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,08.05.2025,"0,001542316975"
GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,08.05.2025,"0,0008928530906"
FPI,FONEVA PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,08.05.2025,"0,001088346751"
TP2,TERA PORTFÖY PARA PİYASASI (TL) FONU,08.05.2025,"0,002311146104"
EIL,QİNVEST PORTFÖY PARA PİYASASI FONU,08.05.2025,"0,001314876353"
KPP,KARE PORTFÖY PARA PİYASASI FONU,08.05.2025,"0,001447005686"
GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,08.05.2025,"0,001322095805"
PJL,PHİLLİP PORTFÖY PARA PİYASASI FONU,08.05.2025,"0,000526694398"
PRH,AURA PORTFÖY PARA PİYASASI (TL) FONU,08.05.2025,"0,001295769775"
TCB,TACİRLER PORTFÖY PARA PİYASASI FONU,08.05.2025,"0,001235934988"
